prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,288,32,False,283097,280640,308280,327700
0,320,1,False,283199,283400,300680,311120
0,320,2,False,282280,278870,303140,312150
0,320,3,False,285413,283860,304320,315400
0,320,4,False,286003,284290,305710,325090
0,320,5,False,285554,282110,307170,322690
0,320,6,False,286618,283800,309900,313220
0,320,7,False,285096,282609,309999,319860
0,320,8,False,283550,280800,304220,309940
0,320,9,False,289794,283570,313690,358300
0,320,10,False,282383,279510,304620,305740
0,320,11,False,283477,279450,305240,307420
0,320,12,False,285033,283070,304580,312460
0,320,13,False,287440,282980,307790,312710
0,320,14,False,284075,283570,304570,315040
0,320,15,False,286299,282600,307810,311250
0,320,16,False,289215,285620,311830,360770
0,320,17,False,284509,279800,306790,324790
0,320,18,False,284823,280960,307680,312130
0,320,19,False,288972,282290,312960,322970
0,320,20,False,285981,284040,309400,318690
0,320,21,False,287978,285040,307920,337580
0,320,22,False,283833,280950,305620,316170
0,320,23,False,284591,281640,306860,325340
0,320,24,False,282399,280480,301050,313390
0,320,25,False,284068,280960,306360,309950
0,320,26,False,286670,282700,307210,320130
0,320,27,False,289484,285970,309850,323220
0,320,28,False,283956,280660,307760,322870
0,320,29,False,282319,279280,305940,316650
0,320,30,False,286675,284510,306740,314630
0,320,31,False,287875,285070,309680,317990
0,320,32,False,287798,285690,307720,312020
0,352,1,False,289554,286360,310290,319860
0,352,2,False,290586,288210,310180,328120
0,352,3,False,289690,289210,310190,315230
0,352,4,False,292243,289180,323890,324940
0,352,5,False,292468,289840,316280,321210
0,352,6,False,348411,348080,369790,372300
0,352,7,False,346981,348610,362300,366220
0,352,8,False,288287,283320,311020,323650
0,352,9,False,345789,348159,363980,367190
0,352,10,False,288269,287490,306780,317960
0,352,11,False,289472,287810,309820,323170
0,352,12,False,287902,283670,310340,319920
0,352,13,False,288093,286670,308980,329690
0,352,14,False,288740,286010,312770,321380
0,352,15,False,289083,286869,311760,321449
0,352,16,False,287747,283290,312830,321510
0,352,17,False,290336,283720,317210,341760
0,352,18,False,288086,288250,309010,322090
0,352,19,False,289908,291670,309930,315730
0,352,20,False,291677,292030,312670,319250
0,352,21,False,288558,285200,312510,322310
0,352,22,False,286254,285770,302310,306500
0,352,23,False,285332,283520,302580,320220
0,352,24,False,284974,283340,303580,310810
0,352,25,False,288321,286440,303740,326590
0,352,26,False,289176,283990,308470,322730
0,352,27,False,293980,295340,305050,321070
0,352,28,False,293151,290240,311020,394990
0,352,29,False,290358,287410,307370,318670
0,352,30,False,287783,288400,307710,313420
0,352,31,False,292450,291480,318830,333380
0,352,32,False,292704,288850,334920,340080
0,384,1,False,286370,279180,307910,320710
0,384,2,False,286348,286170,302310,303410
0,384,3,False,288982,290100,302730,333120
0,384,4,False,286636,283320,305020,312700
0,384,5,False,287103,283190,306040,318510
0,384,6,False,288085,287841,304880,309330
0,384,7,False,287607,285180,308290,323920
0,384,8,False,291500,288970,313760,337520
0,384,9,False,288896,289060,303630,315150
0,384,10,False,286886,283850,302390,308590
0,384,11,False,287867,287710,302380,307940
0,384,12,False,287377,287200,304790,309480
0,384,13,False,288348,284530,310210,317420
0,384,14,False,292209,289150,313660,330510
0,384,15,False,291479,290610,309350,333510
0,384,16,False,292885,293070,311310,336860
0,384,17,False,291302,291320,311950,316520
0,384,18,False,293499,287200,321890,326520
0,384,19,False,292745,292910,311540,325910
0,384,20,False,290386,288470,307200,326810
0,384,21,False,293152,290420,311660,325810
0,384,22,False,291054,287440,311570,323900
0,384,23,False,291138,289020,313790,333560
0,384,24,False,289688,288120,309510,311030
0,384,25,False,290580,287540,311220,314350
0,384,26,False,296177,294520,323390,333570
0,384,27,False,297706,294060,323630,330200
0,384,28,False,293125,289200,316480,321220
0,384,29,False,295004,298240,313390,318120
0,384,30,False,289813,288879,309371,314220
0,384,31,False,290618,290820,310280,312100
0,384,32,False,292801,294990,309710,316040
0,416,1,False,289311,286320,310010,331720
0,416,2,False,288956,285800,306010,318970
0,416,3,False,291735,291550,306780,325040
0,416,4,False,289627,289510,304870,307020
0,416,5,False,290373,289580,308010,322910
0,416,6,False,292764,290880,307550,314570
0,416,7,False,291127,291000,306790,323930
0,416,8,False,291232,287430,307220,332130
0,416,9,False,290686,292670,307330,312560
0,416,10,False,293890,290820,310630,378040
0,416,11,False,292144,289390,311370,319140
0,416,12,False,289883,291060,306930,320750
0,416,13,False,291580,292710,309260,315960
0,416,14,False,291860,292280,309030,312870
